,Node,Topic,Size,Msg Received,Msg Late,Msg Too Late,Msg Lost,Mean,Std,Min,Max,Freq,Throughput,Pub/Sub Type,Architecture,RMW,Test Duration,CPU Stress,IPC
222,camera,rgb_image,921600,0,0,0,0,78,53,19,821,25,22500.2,Publisher,simple,zenoh,60,medium,1
223,laser,scan,8728,0,0,0,0,104,64,32,933,10,85.2342,Publisher,simple,zenoh,60,medium,1
224,follower,attractive_vector,24,600,6,0,0,397,942,97,11289,10,0.234538,Subscription,simple,zenoh,60,high,0
225,follower,repulsive_vector,24,601,3,0,0,301,669,102,12540,10,0.234655,Subscription,simple,zenoh,60,high,0
226,obstacle_detector,scan,8728,592,7,0,0,377,930,116,10688,10,84.1373,Subscription,simple,zenoh,60,high,0
227,object_tracker,out_detection_2d,2928,600,3,0,0,427,803,138,11443,10,28.6044,Subscription,simple,zenoh,60,high,0
228,ai_detector,camera_info,376,1428,12,0,0,329,857,95,12827,25,8.74574,Subscription,simple,zenoh,60,high,0
229,ai_detector,rgb_image,921600,1497,990,21,0,9234,6871,1672,39451,25,22482.9,Subscription,simple,zenoh,60,high,0
230,base_controller,cmd_vel,48,601,1,0,0,318,505,103,8537,10,0.469412,Subscription,simple,zenoh,60,high,0
231,follower,cmd_vel,48,0,0,0,0,102,250,21,3909,10,0.4694,Publisher,simple,zenoh,60,high,0
